factory_code,factory_name,layout_name,canvas_width,canvas_length,area_code,area_name,area_x,area_y,area_width,area_length,area_type,line_code,line_name,line_type,takt_time_sec,capacity_per_shift,ws_code,ws_name,seq,ws_x,ws_y,ws_width,ws_length,max_operators,power_kw,from_ws,to_ws,distance,transport_type,transfer_time_sec,detail
F001,Auto Factory,Automotive Body Layout,2200,1200,A1,Floor Left,80,60,660,580,SubAssembly,FL,Floor Left Line,Automated,90,300,W1,W1,1,160,225,34,28,2,8,W1,W2,,Manual,,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A1,Floor Left,80,60,660,580,SubAssembly,FL,Floor Left Line,Automated,90,300,W2,W2,2,160,160,34,28,2,8,W2,W3,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A1,Floor Left,80,60,660,580,SubAssembly,FL,Floor Left Line,Automated,90,300,W3,W3,3,300,160,34,28,2,8,W3,W4,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A1,Floor Left,80,60,660,580,SubAssembly,FL,Floor Left Line,Automated,90,300,W4,W4,4,440,160,34,28,2,8,W4,W5,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A1,Floor Left,80,60,660,580,SubAssembly,FL,Floor Left Line,Automated,90,300,W5,W5,5,580,160,34,28,2,8,W5,W6,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A1,Floor Left,80,60,660,580,SubAssembly,FL,Floor Left Line,Automated,90,300,W6,W6,6,580,225,34,28,2,8,W6,W31,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A2,Real Wall,920,60,660,580,SubAssembly,RW,Real Wall Line,Automated,90,300,W7,W7,1,973,139,34,28,2,8,W7,W8,,Manual,,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A2,Real Wall,920,60,660,580,SubAssembly,RW,Real Wall Line,Automated,90,300,W8,W8,2,1188,139,34,28,2,8,W8,W9,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A2,Real Wall,920,60,660,580,SubAssembly,RW,Real Wall Line,Automated,90,300,W9,W9,3,1394,143,34,28,2,8,W9,W10,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A2,Real Wall,920,60,660,580,SubAssembly,RW,Real Wall Line,Automated,90,300,W10,W10,4,1399,326,34,28,2,8,W10,W11,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A2,Real Wall,920,60,660,580,SubAssembly,RW,Real Wall Line,Automated,90,300,W11,W11,5,1024,324,34,28,2,8,W11,W12,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A2,Real Wall,920,60,660,580,SubAssembly,RW,Real Wall Line,Automated,90,300,W12,W12,6,1024,495,34,28,2,8,W12,W38,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A3,Front Wall,1820,60,660,580,SubAssembly,FW,Front Wall Line,Automated,90,300,W13,W13,1,1858,123,34,28,2,8,W13,W14,,Manual,,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A3,Front Wall,1820,60,660,580,SubAssembly,FW,Front Wall Line,Automated,90,300,W14,W14,2,2067,122,34,28,2,8,W14,W15,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A3,Front Wall,1820,60,660,580,SubAssembly,FW,Front Wall Line,Automated,90,300,W15,W15,3,2307,120,34,28,2,8,W15,W16,60,Conveyor,10,Sub assembly
