factory_code,factory_name,layout_name,canvas_width,canvas_length,area_code,area_name,area_x,area_y,area_width,area_length,area_type,line_code,line_name,line_type,takt_time_sec,capacity_per_shift,ws_code,ws_name,seq,ws_x,ws_y,ws_width,ws_length,max_operators,power_kw,from_ws,to_ws,distance,transport_type,transfer_time_sec,detail
F001,Auto Factory,Automotive Body Layout,2200,1200,A1,Floor Left,80,60,260,180,SubAssembly,FL,Floor Left Line,Automated,90,300,W1,W1,1,115,105,34,28,2,8,W1,W2,,,,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A1,Floor Left,80,60,260,180,SubAssembly,FL,Floor Left Line,Automated,90,300,W2,W2,2,175,105,34,28,2,8,W2,W3,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A1,Floor Left,80,60,260,180,SubAssembly,FL,Floor Left Line,Automated,90,300,W3,W3,3,235,105,34,28,2,8,W3,W4,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A1,Floor Left,80,60,260,180,SubAssembly,FL,Floor Left Line,Automated,90,300,W4,W4,4,235,155,34,28,2,8,W4,W5,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A1,Floor Left,80,60,260,180,SubAssembly,FL,Floor Left Line,Automated,90,300,W5,W5,5,175,155,34,28,2,8,W5,W6,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A1,Floor Left,80,60,260,180,SubAssembly,FL,Floor Left Line,Automated,90,300,W6,W6,6,175,195,34,28,2,8,W6,W31,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A2,Real Wall,420,60,260,180,SubAssembly,RW,Real Wall Line,Automated,90,300,W7,W7,1,455,105,34,28,2,8,W7,W8,,,,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A2,Real Wall,420,60,260,180,SubAssembly,RW,Real Wall Line,Automated,90,300,W8,W8,2,515,105,34,28,2,8,W8,W9,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A2,Real Wall,420,60,260,180,SubAssembly,RW,Real Wall Line,Automated,90,300,W9,W9,3,575,105,34,28,2,8,W9,W10,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A2,Real Wall,420,60,260,180,SubAssembly,RW,Real Wall Line,Automated,90,300,W10,W10,4,575,155,34,28,2,8,W10,W11,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A2,Real Wall,420,60,260,180,SubAssembly,RW,Real Wall Line,Automated,90,300,W11,W11,5,515,155,34,28,2,8,W11,W12,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A2,Real Wall,420,60,260,180,SubAssembly,RW,Real Wall Line,Automated,90,300,W12,W12,6,515,195,34,28,2,8,W12,W38,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A3,Front Wall,760,60,260,180,SubAssembly,FW,Front Wall Line,Automated,90,300,W13,W13,1,795,105,34,28,2,8,W13,W14,,,,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A3,Front Wall,760,60,260,180,SubAssembly,FW,Front Wall Line,Automated,90,300,W14,W14,2,855,105,34,28,2,8,W14,W15,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A3,Front Wall,760,60,260,180,SubAssembly,FW,Front Wall Line,Automated,90,300,W15,W15,3,915,105,34,28,2,8,W15,W16,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A3,Front Wall,760,60,260,180,SubAssembly,FW,Front Wall Line,Automated,90,300,W16,W16,4,915,155,34,28,2,8,W16,W17,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A3,Front Wall,760,60,260,180,SubAssembly,FW,Front Wall Line,Automated,90,300,W17,W17,5,855,155,34,28,2,8,W17,W18,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A3,Front Wall,760,60,260,180,SubAssembly,FW,Front Wall Line,Automated,90,300,W18,W18,6,855,195,34,28,2,8,W18,W40,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A4,Side Panel Left,1100,60,300,180,SubAssembly,SPL,Side Panel Left Line,Automated,90,300,W19,W19,1,1135,105,34,28,2,8,W19,W20,,,,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A4,Side Panel Left,1100,60,300,180,SubAssembly,SPL,Side Panel Left Line,Automated,90,300,W20,W20,2,1195,105,34,28,2,8,W20,W21,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A4,Side Panel Left,1100,60,300,180,SubAssembly,SPL,Side Panel Left Line,Automated,90,300,W21,W21,3,1255,105,34,28,2,8,W21,W22,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A4,Side Panel Left,1100,60,300,180,SubAssembly,SPL,Side Panel Left Line,Automated,90,300,W22,W22,4,1255,155,34,28,2,8,W22,W23,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A4,Side Panel Left,1100,60,300,180,SubAssembly,SPL,Side Panel Left Line,Automated,90,300,W23,W23,5,1195,155,34,28,2,8,W23,W24,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A4,Side Panel Left,1100,60,300,180,SubAssembly,SPL,Side Panel Left Line,Automated,90,300,W24,W24,6,1195,195,34,28,2,8,W24,W42,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A5,Door Left,1480,60,260,180,SubAssembly,DL,Door Left Line,Automated,90,300,W25,W25,1,1515,105,34,28,2,8,W25,W26,,,,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A5,Door Left,1480,60,260,180,SubAssembly,DL,Door Left Line,Automated,90,300,W26,W26,2,1575,105,34,28,2,8,W26,W27,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A5,Door Left,1480,60,260,180,SubAssembly,DL,Door Left Line,Automated,90,300,W27,W27,3,1635,105,34,28,2,8,W27,W28,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A5,Door Left,1480,60,260,180,SubAssembly,DL,Door Left Line,Automated,90,300,W28,W28,4,1635,155,34,28,2,8,W28,W29,60,Conveyor,10,Sub assembly
F001,Auto Factory,Automotive Body Layout,2200,1200,A5,Door Left,1480,60,260,180,SubAssembly,DL,Door Left Line,Automated,90,300,W29,W29,5,1575,155,34,28,2,8,W29,W30,60,Conveyor,10,Sub assembly
