factory_code,factory_name,layout_name,canvas_width,canvas_length,area_code,area_name,area_x,area_y,area_width,area_length,area_type,line_code,line_name,line_type,takt_time_sec,capacity_per_shift,ws_code,ws_name,seq,ws_x,ws_y,ws_width,ws_length,max_operators,power_kw,from_ws,to_ws,distance,transport_type,transfer_time_sec,detail
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W1,W1,1,250,280,90,90,2,15.5,W1,W2,10,Conveyor,15,Station W1 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W2,W2,2,250,480,90,90,2,15.5,W2,W3,10,Conveyor,15,Station W2 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W3,W3,3,250,680,90,90,2,15.5,W3,W4,10,Conveyor,15,Station W3 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W4,W4,4,550,680,90,90,2,15.5,W4,W5,10,Conveyor,15,Station W4 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W5,W5,5,850,680,90,90,2,15.5,W5,W11,10,Conveyor,15,Station W5 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W6,W6,1,250,280,90,90,2,15.5,W6,W7,10,Conveyor,15,Station W1 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W7,W7,2,250,480,90,90,2,15.5,W7,W8,10,Conveyor,15,Station W2 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W8,W8,3,250,680,90,90,2,15.5,W8,W9,10,Conveyor,15,Station W3 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W9,W9,4,550,680,90,90,2,15.5,W9,W10,10,Conveyor,15,Station W4 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W10,W10,5,850,680,90,90,2,15.5,W10,W11,10,Conveyor,15,Station W5 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A04,Engine,100,1100,1400,750,Production,L40,Engine Line,Straight,90,120,W11,W11,1,250,1530,90,90,2,15.5,W11,W12,10,Conveyor,15,Station W22 in Engine
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A04,Engine,100,1100,1400,750,Production,L40,Engine Line,Straight,90,120,W12,W12,2,470,1530,90,90,2,15.5,W12,W13,10,Conveyor,15,Station W23 in Engine
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A04,Engine,100,1100,1400,750,Production,L40,Engine Line,Straight,90,120,W13,W13,3,690,1530,90,90,2,15.5,W13,W14,10,Conveyor,15,Station W24 in Engine
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A04,Engine,100,1100,1400,750,Production,L40,Engine Line,Straight,90,120,W14,W14,4,910,1530,90,90,2,15.5,W14,W15,10,Conveyor,15,Station W25 in Engine
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A04,Engine,100,1100,1400,750,Production,L40,Engine Line,Straight,90,120,W15,W15,5,1130,1530,90,90,2,15.5,W15,W16,10,Conveyor,15,Station W26 in Engine
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A04,Engine,100,1100,1400,750,Production,L40,Engine Line,Straight,90,120,W16,W16,6,1350,1530,90,90,2,15.5,,,10,Conveyor,15,Station W27 in Engine
